LocationID	LocationName	StartDate	EndDate	SPA
2052002	Durmen (Schipdonkkanaal tot Hansbekebrug) MERENDREE	NA	NA	0
2052005	Loplas (= Zandwinning Lovendegembrug) LOVENDEGEM	NA	NA	0
2052006	Schipdonkplas (= Zandwinning Schipdonkbrug) MERENDREE	NA	NA	0
2052007	Schipdonkkanaal Hansbekebrug-brug Nevele	NA	NA	0
2052008	Schipdonkkanaal Nevele brug - Deinze brug	NA	NA	0
2052009	Brugse Vaart Aalterbrug - Bellembrug	NA	NA	0
2052010	Brugse Vaart Bellembrug - Durmen	NA	NA	0
2052011	Brugse Vaart Durmen - Lovendegembrug	NA	NA	0
2052012	Brugse Vaart Lovendegembrug - ringvaart	NA	NA	0
2052013	Durmenplas (= Zandwinning Durmenbrug) Merendree Put) MERENDREE	NA	NA	0
2052101	Gentbrugse Meersen GENTBRUGGE	NA	NA	0
2052102	Zandafgraving Heusdenbrug MELLE	NA	NA	0
2052103	Visvijvers MELLE	NA	NA	0
2052201	Ringvaart + OT BELZELE	NA	NA	0
2052304	Durmmeersen (vroegere Bergona) VINDERHOUTE	NA	NA	0
2052305	Zuurhoek + Molenmeers VINDERHOUTE	NA	NA	0
2052401	Sidmar I ST.-KRUIS-WINKEL	NA	NA	0
2052402	Sidmar II ST.-KRUIS-WINKEL	NA	NA	0
2052501	Oud Vliegveld LOCHRISTI	NA	NA	0
2052602	Texaco-vlakte DESTELDONK	NA	1997-04-01	0
2053002	Rodenhuizedok TERDONK	NA	NA	0
2053004	Blusput + Desteldonk Noord (vroeger opgespoten terrein, 96/97) RODENHUIZE	NA	NA	0
2053005	Sifferdok GENT	NA	NA	0
2053006	Kanaal Rieme/Sidmar	NA	NA	0
2053007	Wiedauwkaai GENT	NA	NA	0
2053301	Put autostrade (hondeclub) BEERVELDE E3-PUT	NA	NA	0
2053302	Zandput Grote Belderik BEERVELDE	NA	NA	0
2053303	Put Lobos BEERVELDE	NA	NA	0
2053701	Krekengebied ST.-LAUREINS-ST.-JAN-IN-EREMO	NA	NA	1
2053704	Vrouwkenshoekkreek/Blokkreek, SINT-LAUREINS	NA	NA	0
2053801	Petroleumdok OOSTAKKER	NA	NA	0
2053901	Kuhlman (Callemansputten) ZELZATE	NA	NA	0
2054501	Iobes KERKBRUGGE	NA	1999-04-01	0
2054701	Moervaart MENDONK (Gent)	NA	NA	0
2054801	Suikerfabriek MOERBEKE	NA	NA	0
2054901	Pereboomsgat MOERBEKE	NA	NA	0
2055201	Kanaal Gent-Terneuzen GENT - ZELZATE	NA	NA	0
2055301	Kluizendokken (= vroegere Geuzenhoek) DOORNZELE	NA	NA	0
2055401	Mortelput KNESSELARE	NA	NA	0
2055402	Brugse Vaart Sint-Joris - Aalterbrug KNESSELARE	NA	NA	0
2055501	Schelderodeput SCHELDERODE	NA	NA	0
2055502	St.Elooisput SCHELDERODE	NA	NA	0
2055503	Teirlinckput Melsen	NA	NA	0
2055601	De Reymeren MERELBEKE	NA	NA	0
2055701	Skiput LOTENHULLE	NA	NA	0
2055801	Schelde Brug Melle - ringvaart tot Sluizen Gent	NA	NA	0
2055901	Westerplas SINT-MARTENS-LATEM	NA	NA	0
2060102	Tweeling EKE	NA	NA	0
2060105	Natuurreservaat Scheldekant EKE	NA	NA	0
