LocationID	LocationName	SPA	Area	XBelgiumLambert72	YBelgiumLambert72
RHOE_10.25	Court-Saint-Etienne (La Thyle vers Suzeril)	0	5	164000	145000
RHOE_10.26	Jodoigne	0	1	185079	156846
RHOE_10.27	Opprebais (carrières)	0	NA	NA	NA
RHOE_10.28	Vieux Sart (étangs)	0	NA	NA	NA
RHOE_10.29	Zétrud-Lumay (Étang de pêche)	0	35	187036	161603
RHOE_11.01	Bousval (Etang Pont Spilet	161041	NA	NA	26.44636671
RHOE_11.02	Genval (Lac+ réserve LRBPO+Lido)	0	4	157730	157147
RHOE_11.03	La Hulpe (Etang de la Ferme)	0	3.565473349	156111.5615	158012.0464
RHOE_11.04	La Hulpe (Etang Decellier)	1	4.575267162	156480.0638	157735.4834
RHOE_11.05	La Hulpe (Etang Longue Queue)	0	5.383564361	156803.4694	158496.1883
RHOE_11.06	La Hulpe (Grand étang)	1	12.96420276	158641.8563	158480.8283
RHOE_11.07	La Hulpe (Etang du Gris moulin)	1	18.40874918	157012.5526	158179.6677
RHOE_11.08	Lasne (Etangs)	0	9.01107053	157919.9377	152337.9631
RHOE_11.09	Maransart (Etangs d'Aywiers et pisciculture)	0	28.30436469	156839.6701	150655.6995
RHOE_11.10	Ohain (Etang de Renipont)	0	4.433874921	159202.2833	154672.6184
RHOE_11.11	Ohain (Etangs de Smohain-Aquinot)	0	8.827493684	157048.6524	153590.8506
RHOE_11.13	Rosières (Etang du Grand Cortil)	1	26.18839628	162509.8939	157397.7186
RHOE_11.14	Plancenoit	0	3.125892336	154425.0365	149445.643
RHOE_11.15	Lasne (Pêcheries)	0	30	157995	152347
RHOE_11.16	Lasne (Rivière amont village)	0	20.66497518	156533.9874	150915.017
RHOE_11.17	Ohain (Smohain) aval village	0	10.26759539	158258.4489	153942.679
RHOE_11.18	Lasne (aval Renipont)	0	32.83469744	160289.5647	155777.5537
RHOE_11.19	Bourgeois (Carpu)	0	3.513631545	159259.334	155732.6162
RHOE_11.20	Rosières (Prairies humides près de l'autoroute)	1	20.13842202	163284.2888	158744.1551
RHOE_11.21	Rosières (rivière)	0	3.545903018	163427.859	158768.0165
RHOE_11.22	La Hulpe (Etang Massol)	1	51	158647	158447
RHOE_11.26	Bourgeois (Prairies humides du Bêloi)	1	7	159468	155774
RHOE_11.27	Rosières (Reste des marais) / Commune de Rixensart	1	30	162761	157521
RHOE_12.01	Aische-en-Refail (Etangs)	0	3.983234648	182458.9164	143025.0439
RHOE_12.02	Grand-Manil (Bertinchamps)	0	18.98518188	169343.769	138675.7889
RHOE_12.03	Gembloux (Réserve de l'Escaille)	0	11.50932021	174120.2139	139999.3679
RHOE_12.04	Grnad-Leez (Etang de la pêcherie/foot)	0	5.016412582	179167.305	141700.29
RHOE_12.05	Grand-Leez (Etang du Long-Pont)	1	18.23519026	177374.3044	142680.8699
RHOE_12.06	Grand-Leez (Fond des Noues)	0	7.657403796	180779.2146	141544.2663
RHOE_12.07	Grand Rosière-Hottomont (Etang de la ferme d'Aubrimé)	0	8.617492384	185478.9559	147321.5896
RHOE_12.08	Thorembais-Saint-Trond (Etang E411)	0	2.913484062	178717.7119	144360.9422
RHOE_12.09	Upigny	0	5.736489235	184400.4919	139889.6998
RHOE_12.10	Villers-lez-Heest	0	1.664670614	183524.6736	135983.5798
RHOE_12.11	Nil-Saint-Vincent-Saint-Martin (étang des Hayettes)	0	7.797660712	170769.6918	145903.6404
RHOE_12.13	Petit-Leez (Etangs)	0	0.424197063	178688.8684	140090.3698
RHOE_12.14	Mont-Saint-Guibert (Etangs de Bierbais)	0	8.255465214	167370.3992	146681.6552
RHOE_12.15	Meux (Château de Jennevau)	0	2.551102625	181922.1426	138665.7729
RHOE_12.16	Chastre (mare temporaire)	0	4	169724	142125
RHOE_12.17	Mont-Saint-Guibert (Dépotoir et sablière)	0	88.22582357	167582.007	148977.8681
RHOE_12.18	Malèves-Sainte-Marie	0	NA	NA	NA
RHOE_12.19	Grand-Manil (Argilière)	0	2	171956	138579
RHOE_12.20	Fortis training center	0	3	169138	145522
RHOE_12.21	Gentissart (Réserve)	1	100	163881	140119
RHOE_12.22	Site de Spaque à Mellery	1	101	163881	140119
RHOE_12.23	Gentinnes étang	0	10	166549	140832
RHOE_12.24	Saint-Géry étang du moulin	0	5	166000	140000
RHOE_13.01	Bierwart	0	63.39508165	197518.2224	136987.1817
RHOE_13.02	Boneffe (Ensemble d'étangs)	0	13.18126933	191551.7726	145782.698
RHOE_13.03	Cortil-Wodon	0	9.347560545	193280.2746	139967.5785
RHOE_13.04	Eghezée-Longchamps (Décanteurs)	0	62.37235733	188115.5251	140713.9678
RHOE_13.05	Fernelmont (Réserve naturelle)	0	13.17986503	195769.539	136119.3612
RHOE_13.06	Hingeon (Bassin d'orage)	0	1.232340525	196234.9196	135965.5764
RHOE_13.07	Wasseiges (Ancien décanteur)	0	1	194866	145745
RHOE_13.08	Wasseiges (Réserve naturelle)	0	1.776544166	195927.5102	145522.5299
RHOE_13.09	Andenne (Bassin d'orage E42)	0	1.22428609	199204.8057	135897.9017
RHOE_13.11	Ambresin (Etang)	0	3.313144113	196540.4684	146144.0592
RHOE_13.12	Burdinne	0	NA	NA	NA
RHOE_13.13	Moxhe	0	33.86856228	201086.6213	146741.119
RHOE_13.14	Franc-Waret	0	4.493013819	192787.5311	134364.4917
RHOE_13.15	Petit-Waret	0	NA	NA	NA
RHOE_13.16	Hambraine (Fernelmont)	0	NA	NA	NA
RHOE_14.01	Hollogne-sur-Geer (Décanteurs)	0	40.16012532	209212.9185	151496.6553
RHOE_14.02	Lens-sur-Geer (Décanteurs)	0	28.4194535	218941.469	156430.0858
RHOE_14.03	Waremme (Réserve naturelle)	0	23.56560716	214251.1239	153870.4399
RHOE_14.04	Jehay-Bodegnée (Etangs)	0	6.346155147	217416.7711	141338.5992
RHOE_14.05	Seraing-le-Château (Etang de la ferme du château)	0	1.306969855	215874.7762	145716.2891
RHOE_14.06	Villers-le-Bouillet (Bassin d'orage)	0	6.49069943	213635.4197	142499.9075
RHOE_14.07	Donceel (Etangs)	0	1.576067041	218155.7534	148876.4544
RHOE_14.08	Fallais	0	NA	NA	NA
RHOE_15.01	Bossière (Golzinne)	0	2.167366058	174587.6825	134011.4286
RHOE_15.02	Mazy (Prairies de la Vallée de l'Orneau)	0	19.6183091	171647.6544	133185.2494
RHOE_15.03	Sombreffe	0	20.1623725	166407.2404	134159.7028
RHOE_15.04	Spy (Bassin d'orage)	0	6.201524501	175004.8887	130820.6187
RHOE_15.05	Vichenet (Etang)	0	3.725016102	172580.2171	135571.1629
RHOE_15.06	Vichenet (Prairie)	0	31.80062535	172731.6041	135494.3611
RHOE_15.07	Fleurus (Décanteurs)	0	27.17085825	161580.1467	130758.6399
RHOE_15.08	Beuzet	0	15.42703417	175113.2409	135250.7415
RHOE_16.01	Aisemont (Carrières)	0	84.45410561	168808.724	121953.2128
RHOE_16.02	Tamines (Etangs)	1	16.62684331	167709.57	125029.2788
RHOE_16.03	Tergnée (Etangs)	0	25.57074529	163699.6841	125408.2575
RHOE_16.04	Soye (Etangs)	0	13.5990039	176326.4299	126251.2271
RHOE_16.05	Fosses-la-Ville (Lac de Bambois)	1	37.8514893	172394.502	117773.3143
RHOE_16.06	Sambre de Charleroi à Tergnée	0	87.80882293	160598.0617	122467.6127
RHOE_16.07	Sambre de Tergnée à Namur	0	221.6212141	174121.9402	126235.8334
RHOE_16.08	Noue de Mornimont	0	15	172000	127000
RHOE_17.01	Gozée (Etang de l'Ancienne Abbaye)	0	10.76455831	147680.391	116760.9253
RHOE_17.02	Barbençon (étang)	0	5.845341792	144235.6426	101113.0867
RHOE_17.03	Gozée (Grand Vivier)	0	24.52459863	149268.8801	112981.1832
RHOE_17.04	Nalinnes	0	34.98554954	154794.3639	112220.2961
RHOE_17.05	Donstiennes	0	12.98424293	146748.7012	107908.3876
RHOE_17.06	Sambre de Erquelinnes à Charleroi	0	261.3772897	143567.7053	115753.4512
RHOE_17.07	Labuissière (Réserve RNOB)	1	33.68135063	136524.0212	111632.868
RHOE_17.08	Ham-sur-Heure-Nalinnes (L'Eau d'Heure)	0	9.103098817	152074.2864	112519.2222
RHOE_17.09	Ham-sur-Heure (Etangs du Vivier)	0	1	150890	111121
RHOE_18.01	Godinne (Iles)	0	39.51404544	185669.2481	115912.2673
